Geneid	HKRDPORdkdEBAGRABPEI_210	HKRDPORdkdEBACRAAPEI_206	HKRDPORdkdEBAERAAPEI_208	HKRDPORdkdEBAHRAAPEI_211	HKRDPORdkdEBAKRAAPEI_214	HKRDPORdkdEBALRAAPEI_215	HKRDPORdkdEBAPRAAPEI_220	HKRDPORdkdEBATRAAPEI_225	HKRDPORdkdEBAURAAPEI_227	HKRDPORdkdEBAVRAAPEI_201	HKRDPORdkdEBAYRAAPEI_205	HKRDPORdkdEBAZRAAPEI_206	HKRDPORdkdEBBGRAAPEI_215	HKRDPORdkdEBBHRAAPEI_216	HKRDPORdkdEBBJRAAPEI_219	HKRDPORdkdEBBKRAAPEI_220
ENSSSCG00000037372	110	172	147	168	137	147	103	98	125	94	137	139	142	151	137	105
ENSSSCG00000027257	1731	2253	1682	1955	2032	2045	1646	924	1528	1750	2149	2605	1380	1753	1401	1867
ENSSSCG00000029697	445	1037	923	952	640	833	565	591	715	686	951	990	1094	1314	1161	717
ENSSSCG00000027274	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	2
ENSSSCG00000027726	11	40	4	6	13	22	12	11	6	7	13	7	0	4	8	0
ENSSSCG00000033475	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
ENSSSCG00000035944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004010	592	1718	1537	1105	978	1268	551	662	763	480	1690	1320	1191	1394	1025	589
ENSSSCG00000004009	0	0	2	2	2	0	1	0	0	2	0	0	1	1	1	0
ENSSSCG00000030155	216	604	512	435	294	524	300	310	323	211	489	358	489	620	386	274
ENSSSCG00000038931	339	714	557	539	634	750	446	431	437	313	724	655	430	545	337	337
ENSSSCG00000004008	3	3	16	4	7	17	4	6	6	4	7	6	10	9	7	2
ENSSSCG00000004012	454	253	72	1070	1620	508	747	262	158	402	246	1081	194	284	380	249
ENSSSCG00000035661	0	5	2	1	9	38	4	2	0	0	3	1	2	3	3	0
ENSSSCG00000032192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004013	0	0	4	15	0	0	0	5	0	0	0	0	0	1	0	1
ENSSSCG00000037093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000031703	0	0	1	14	0	0	0	1	0	0	1	0	0	2	0	0
ENSSSCG00000004017	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSSSCG00000004016	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSSSCG00000004018	1	7	8	11	4	1	11	1	5	5	6	3	26	18	15	13
ENSSSCG00000038097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000027404	0	0	0	3	0	1	0	2	2	1	0	0	0	0	0	0
ENSSSCG00000022580	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000032403	0	2	2	0	0	0	4	1	2	5	0	0	0	2	0	0
ENSSSCG00000037137	3	9	47	1	1	7	1	30	75	2	9	4	12	2	6	2
ENSSSCG00000024562	107	386	109	270	293	446	132	147	217	130	283	336	264	387	515	180
ENSSSCG00000034196	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004023	276	394	287	322	285	394	330	202	326	401	436	369	446	417	307	438
ENSSSCG00000004024	8638	3253	4802	5336	6355	2315	5163	1903	2018	3587	2670	5285	2486	2002	2022	7483
ENSSSCG00000004022	250	291	385	298	529	249	231	361	358	223	316	610	684	343	474	441
ENSSSCG00000032916	322	846	581	630	845	830	472	375	540	330	964	889	431	453	431	364
ENSSSCG00000040654	2	0	1	3	0	0	1	1	0	0	1	0	0	1	2	0
ENSSSCG00000004020	559	1056	797	1078	1366	1080	813	613	868	613	1001	1163	774	1050	823	826
ENSSSCG00000004021	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000036759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000034946	16	67	10	36	23	25	6	1	3	4	33	28	2	37	19	12
ENSSSCG00000036609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000036448	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSSSCG00000004027	0	0	1	0	1	0	0	2	0	0	1	1	0	0	0	0
ENSSSCG00000034772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000019654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004029	1025	1579	1488	2384	1305	1358	1583	1412	1784	1344	1375	1682	1321	1836	1327	973
