Sample.ID	Library.Name	Lane	Flowcell	Ear.Tag	Time	pre_RIN	post_RIN	post_conc	Ratio.28S/18S	RNA_prep_date	pre_conc	On_weight	BW2	WBC	RBC	Platelet_Auto	Neutrophil	Lymphocyte	Monocyte	Eosinophil	Basophils	Unidentifed.Cells
H_LPS_T0_P8	HKRDPORdkdEBACRAAPEI_206	HKTRDPEP00000345	FCL1_2	8	0	9.1	7.1	86	1	Day3	71	63.4	65.6	18.79	6.78	258	4.47	12.73	0.93	0.49	0.06	0.09
H_LPS_T0_P41	HKRDPORdkdEBALRAAPEI_215	HKTRDPEP00000345	FCL2_10	41	0	9	7.3	161	0.9	Day1	196	66.8	69.6	19.72	8.17	334	3.69	14.57	0.69	0.45	0.06	0.26
H_LPS_T0_P139	HKRDPORdkdEBAYRAAPEI_205	HKTRDPEP00000349	FCL3_4	139	0	9.1	7.5	51	0.8	Day2	78	65.8	68.8	25.94	7.44	211	7.73	15.67	1.25	1.01	0.08	0.18
H_LPS_T0_P816	HKRDPORdkdEBBHRAAPEI_216	HKTRDPEP00000348	FCL4_3	816	0	9.6	8.4	68	1.6	Day4	90	58.8	62.4	20.5	7.24	286.5	5.14	13.65	0.91	0.795	0.08	0.15
H_LPS_T2_P8	HKRDPORdkdEBAERAAPEI_208	HKTRDPEP00000349	FCL1_4	8	2	9.5	7.8	58	1	Day3	77	63.4	65.6	48.5	6.9	113	1.46	40.45	5.87	0.19	2.38	0.53
H_LPS_T2_P41	HKRDPORdkdEBATRAAPEI_225	HKTRDPEP00000348	FCL2_9	41	2	9.4	8.1	67	1	Day1	85	66.8	69.6	3.31	8.03	129	0.56	2.6	0.04	0.07	0.01	0.03
H_LPS_T2_P139	HKRDPORdkdEBAURAAPEI_227	HKTRDPEP00000348	FCL3_1	139	2	8.5	7.5	70	0.8	Day2	91	65.8	68.8	8.48	7.5	105	1.96	6	0.16	0.15	0.11	0.08
H_LPS_T2_P816	HKRDPORdkdEBBGRAAPEI_215	HKTRDPEP00000346	FCL4_2	816	2	9.3	7.8	65	1.1	Day4	79	58.8	62.4	5.31	6.6	156	1.99	3.11	0.1	0.1	0.01	0.02
H_LPS_T6_P8	HKRDPORdkdEBAGRABPEI_210	HKTRDPEP00000405	FCL1_6	8	6	8.6	8	33	0.6	Day3	85	63.4	65.6	10.1	7.36	143	7.82	1.98	0.07	0.09	0.05	0.08
H_LPS_T6_P41	HKRDPORdkdEBAPRAAPEI_220	HKTRDPEP00000348	FCL2_5	41	6	8.7	7.5	48	0.9	Day1	66	66.8	69.6	7.22	8.77	106	4.84	2.04	0.1	0.19	0.04	0.02
H_LPS_T6_P139	HKRDPORdkdEBAVRAAPEI_201	HKTRDPEP00000346	FCL3_10	139	6	9.8	8.4	32	1.4	Day2	56	65.8	68.8	12.73	8.11	96	9.2	2.94	0.27	0.23	0.03	0.05
H_LPS_T6_P816	HKRDPORdkdEBBKRAAPEI_220	HKTRDPEP00000347	FCL4_6	816	6	8.4	6.2	42	0.2	Day4	82	58.8	62.4	14.2	6.34	158	10.93	2.81	0.11	0.21	0.01	0.11
H_LPS_T24_P8	HKRDPORdkdEBAHRAAPEI_211	HKTRDPEP00000345	FCL1_7	8	24	9.3	7.3	36	1.8	Day3	65	63.4	65.6	32.41	6.82	177	20.29	10.18	0.45	1.3	0.1	0.1
H_LPS_T24_P41	HKRDPORdkdEBAKRAAPEI_214	HKTRDPEP00000349	FCL2_1	41	24	8.5	7	63	0.7	Day1	83	66.8	69.6	23.62	6.3	171	13.89	8.62	0.21	0.68	0.02	0.17
H_LPS_T24_P139	HKRDPORdkdEBAZRAAPEI_206	HKTRDPEP00000348	FCL3_5	139	24	9.1	7.3	71	0.8	Day2	77	65.8	68.8	32.11	6.94	129	18.43	11.08	0.45	1.64	0.1	0.42
H_LPS_T24_P816	HKRDPORdkdEBBJRAAPEI_219	HKTRDPEP00000349	FCL4_5	816	24	9.4	7.1	98	1.6	Day4	129	58.8	62.4	15.76	6.47	178	5.8	8.24	0.3	1.09	0.02	0.32
